car,brand,model,year,plate,rut,birthdate,comune,email,celular
VOLVO XC40,VOLVO,XC40,2019,LKDF80,17209133-4,21-01-1989,Colina,kmckenzie0.143150501892063@gmail.com,910327103
HONDA CR-V,HONDA,CR-V,2020,LWGG37,10031640-4,18-07-1972,La Florida,abarber0.454215015463024@gmail.com,998159815
VOLKSWAGEN VIRTUS,VOLKSWAGEN,VIRTUS,2018,KLKP82,14557325-4,25-11-1974,Temuco,kpratt0.70110721969974@gmail.com,915476154
CHEVROLET CRUZE,CHEVROLET,CRUZE,2017,JHHG78,7206936-6,20-09-1953,Temuco,srandall0.852197657873797@gmail.com,919678196
NISSAN PATHFINDER,NISSAN,PATHFINDER,2018,KGRS48,9009606-0,17-09-1962,Maipú,lboyle0.313192523334563@gmail.com,918796187
KIA RIO 5,KIA,RIO 5,2023,SKRY57,15724023-4,01-01-1982,La Serena,aharrell0.583862912853805@gmail.com,912484124
FORD EDGE,FORD,EDGE,2015,GRZR98,12546839-K,21-04-1974,Viña del Mar,jfrench0.883452397709732@gmail.com,977957795
HONDA PILOT,HONDA,PILOT,2017,HZZW76,16211050-0,13-08-1986,Punta Arenas,msmall0.0463759607791201@gmail.com,918369183
JEEP COMPASS,JEEP,COMPASS,2023,SJFF69,19605653-K,21-01-1997,San Miguel,lsanchez0.378177433217718@gmail.com,912487124
RENAULT SYMBOL,RENAULT,SYMBOL,2018,KFGT61,14005992-7,07-01-1979,Rancagua,cdavila0.374638080153531@gmail.com,974277427
JAC JS2,JAC,JS2,2023,SHTC21,18560448-9,23-02-1978,Las Condes,cbarker0.757302440011673@gmail.com,920181201
HONDA PILOT,HONDA,PILOT,2023,SGHS19,12399945-2,08-07-1973,Maipú,qarias0.908649063034357@gmail.com,972477247
BAIC X35,BAIC,X35,2023,SJSZ72,8044776-0,31-03-1958,Calle Larga,bwest0.483059090369052@gmail.com,920686206
MAZDA 2,MAZDA,2,2022,RWPT14,12733096-4,09-04-1975,Viña del Mar,cbush0.6589106647482@gmail.com,985038503
SKODA FABIA,SKODA,FABIA,2015,GZTW57,19438568-4,13-06-1996,Concepción,avelazquez0.0600662385670076@gmail.com,918406184
SUZUKI S-CROSS,SUZUKI,S-CROSS,2017,JGJR68,17994733-1,06-12-1991,Puerto Montt,apark0.324900124644043@gmail.com,919407194
MITSUBISHI ASX,MITSUBISHI,ASX,2023,SGLY77,15737992-5,19-11-1982,Vitacura,ebrandt0.0782906615400492@gmail.com,982828282
VOLKSWAGEN GOLF,VOLKSWAGEN,GOLF,2017,JKTG69,12227324-5,06-11-1972,Rancagua,rschroeder0.899339975804187@gmail.com,912588125
NISSAN PATHFINDER,NISSAN,PATHFINDER,2016,HVSB20,17082883-6,15-10-1988,Antofagasta,iingram0.24051835957306@gmail.com,910312103
SUZUKI SWIFT,SUZUKI,SWIFT,2019,LHRJ74,7968443-0,30-03-1956,Temuco,aconley0.870993236349151@gmail.com,918594185
BMW X1,BMW,X1,2015,GWHP83,6150057-k,15-06-1953,Arica,pgay0.854205349681164@gmail.com,981238123
MG HS,MG,HS,2022,SDFL73,17141273-0,05-02-1989,Peñalolén,lwise0.696148077773679@gmail.com,916576165
SUZUKI DZIRE,SUZUKI,DZIRE,2021,PLBG24,13502746-4,12-08-1978,Santiago,xschwartz0.74605454151796@gmail.com,992609260
HYUNDAI TUCSON,HYUNDAI,TUCSON,2016,HRYY49,12536888-3,15-09-1973,La Florida,zterry0.134908329402314@gmail.com,932643264
VOLVO V40,VOLVO,V40,2019,LSHR87,9317136-5,03-01-1971,Peñalolén,rdowns0.461749823091405@gmail.com,918039180
FORD ESCAPE,FORD,ESCAPE,2015,GVJS55,13884508-7,26-01-1980,Colina,lvasquez0.888876910533502@gmail.com,911547115
FORD EDGE SEL,FORD,EDGE SEL,2015,HBYS68,12584339-5,1-4-1974,San Miguel,vmcgrath0.682224708139498@gmail.com,916841684
OPEL CORSA,OPEL,CORSA,2020,PGSZ77,15817059-0,04-04-1984,Temuco,vmcgrath0.682224708139498@gmail.com,916841684
SUZUKI VITARA,SUZUKI,VITARA,2017,JBRW32,8143925-7,11-03-1969,Puerto Montt,kmckenzie0.143150501892063@gmail.com,910327103
GEELY COOLRAY,GEELY,COOLRAY,2023,SHRX25,8911875-1,25-11-1970,La Florida,jparker0.0883675601809302@gmail.com,913441344
HONDA WR-V,HONDA,WR-V,2022,SBPF85,16366225-6,19-02-1987,Iquique,abarber0.454215015463024@gmail.com,998159815
CHANGAN CS15,CHANGAN,CS15,2023,SGLJ88,7993729-0,08-05-1960,Iquique,abowers0.174030298226556@gmail.com,937273727
GEELY COOLRAY,GEELY,COOLRAY,2023,SHRX25,8911875-1,25-11-1970,Iquique,lboyle0.313192523334563@gmail.com,918796187
SUZUKI CELERIO,SUZUKI,CELERIO,2022,SDXF98,15653259-2,08-09-1983,Rancagua,swest0.371895860412838@gmail.com,917432174
GEELY COOLRAY,GEELY,COOLRAY,2023,SHRX25,8911875-1,25-11-1970,Ñuñoa,abridges0.383567283036489@gmail.com,937343734
GEELY COOLRAY,GEELY,COOLRAY,2023,SHRX25,8911875-1,25-11-1970,Peñalolén,jfrench0.883452397709732@gmail.com,977957795
CHEVROLET COLORADO,CHEVROLET,COLORADO,2019,LGLF84,14530622-1,15-04-1974,Puente Alto,msmall0.0463759607791201@gmail.com,918369183
CHEVROLET SPARK GT,CHEVROLET,SPARK GT,2018,KDSW35,9638724-5,12-11-1963,Viña del Mar,cdavila0.374638080153531@gmail.com,974277427
PEUGEOT 208 ALLURE,PEUGEOT,208 ALLURE,2019,LCFH66,15637911-5,09-09-1983,Coquimbo,qarias0.908649063034357@gmail.com,972477247
VOLKSWAGEN VIRTUS,VOLKSWAGEN,VIRTUS,2021,PGHV79,18626064-3,07-11-1993,Calle Larga,bwest0.483059090369052@gmail.com,920686206
VOLVO S60,VOLVO,S60,2020,LRGX68,26695933-8,14-12-1987,La Florida,kmueller0.0228929350172283@gmail.com,915362153
SUZUKI DZIRE,SUZUKI,DZIRE,2019,LPCY73,16518222-7,6-12-1986,Colina,jparker0.0883675601809302@gmail.com,913441344
SSANGYONG ACTYON SPORTS,SSANGYONG,ACTYON SPORTS,2018,KPZV59,16297445-9,09-02-1986,Puerto Montt,abarber0.454215015463024@gmail.com,998159815
GEELY COOLRAY,GEELY,COOLRAY,2023,SHRX25,8911875-1,25-11-1970,La Serena,lmercado0.0224371827615466@gmail.com,917868178
SUZUKI BALENO,SUZUKI,BALENO,2021,PZGL41,16583055-5,22-04-1987,San Miguel,srandall0.852197657873797@gmail.com,919678196
VOLKSWAGEN SAVEIRO,VOLKSWAGEN,SAVEIRO,2019,KZKR20,15313630-0,29-12-1982,Rancagua,lboyle0.313192523334563@gmail.com,918796187
